isin;date;last;close;first;low;high;trade_count;trade_volume;trade_value;ask_price;ask_volume;bid_price;bid_volume;individual_buy_volume;individual_sell_volume;legal_buy_volume;legal_sell_volume;reference_price;state
Solutions Tuna capacitor;2020-10-29T02:48:54;13481;62973;23363;28338;64987;55418;88531;248;42258;43715;20107;54940;26113;7376;46384;86853;40736;applications driver leading edge
workforce virtual tan;2020-10-29T03:14:20;76286;5457;97241;64050;37058;20867;88102;92958;33159;86548;18848;89849;91395;52401;29326;46273;82192;exploit Legacy
Russian Ruble Customizable unleash;2020-10-29T12:54:38;73745;97771;26571;81344;54881;77582;26944;48871;4075;58547;54536;50918;44558;31106;21467;63131;66510;payment driver
plum transmitter;2020-10-29T16:29:49;69053;64322;34665;35515;83337;69427;15284;96626;42855;22345;40540;97515;62732;95641;75484;45053;314;Persevering Borders payment
Plastic XSS compress;2020-10-29T14:42:08;77058;71876;33935;87003;47590;24676;70408;46827;70471;91246;35050;48126;26201;96943;76451;86234;95131;card Forks local area network
Credit Card Account;2020-10-28T20:29:15;40325;92334;15158;25711;73592;64861;30477;90485;19025;24320;45087;70223;66362;63956;68938;91686;31342;azure backing up
deposit Harbors;2020-10-29T14:43:26;32320;83180;21387;81600;49632;4279;3068;87134;37149;60979;35255;14538;3085;85666;70866;4216;2202;B2B cross-media parsing
Sausages withdrawal;2020-10-29T10:52:07;57577;19900;14251;79589;80549;98221;32244;85714;83549;71717;63130;16608;94107;4013;36814;2380;59642;French Polynesia didactic
mint green Persevering mobile;2020-10-29T12:36:18;5026;87372;74361;6171;13517;77633;15624;20466;71987;87375;77924;94135;70653;8015;32376;49471;74706;Principal microchip
Berkshire;2020-10-28T21:06:25;14052;10255;24111;1681;91920;72096;42165;89941;90910;33317;48982;64012;85418;65749;41993;89655;49599;South Carolina
