isin;name;tse_id;volatility_30;volatility_60;volatility_90;updated_at
IRO1BTEJ0001;وتجارت;63917421733088077;0;0;0;2020-09-08
IRO1MKBT0001;اخابر;22811176775480091;0;0;0;2020-09-08
IRO1BSDR0001;وبصادر;28320293733348826;0;0;0;2020-09-08
IRO1PASN0001;پارسان;23441366113375722;0;0;0;2020-09-08
IRO1PKOD0001;خپارس;42354736493447489;0;0;0;2020-09-08

IRO1GDIR0001;وغدير;26014913469567886;0;0;0;2020-09-08
IRO1GOLG0001;كگل;35700344742885862;0;0;0;2020-09-08
IRO1CHML0001;كچاد;18027801615184692;0;0;0;2020-09-08
IRO1FOLD0001;فولاد;46348559193224090;0;0;0;2020-09-08
IRO1MSMI0001;فملي;35425587644337450;0;0;0;2020-09-08

IRO1SIPA0001;خساپا;44891482026867833;0;0;0;2020-09-08
IRO1FKHZ0001;فخوز;28864540805361867;0;0;0;2020-09-08
IRO1MAPN0001;رمپنا;67126881188552864;0;0;0;2020-09-08
IRO1PKLJ0001;فارس;25244329144808274;0;0;0;2020-09-08
