id;isin;closing;updated_at
1	;IRO1BTEJ0001;	3050;	2020-09-08
2	;IRO1BTEJ0002;	3210;	2020-09-07
3	;IRO1BTEJ0003;	3360;	2020-09-06
4	;IRO1BTEJ0004;	3250;	2020-09-05
5	;IRO1BTEJ0005;	3110;	2020-09-02
6	;IRO1BTEJ0006;	3250;	2020-09-01
7	;IRO1BTEJ0007;	3270;	2020-08-31
8	;IRO1BTEJ0008;	3130;	2020-08-26
9	;IRO1BTEJ0009;	2990;	2020-08-25
10;IRO1BTEJ0010;	2850;	2020-08-24
11;IRO1BTEJ0011;	2960;	2020-08-23
12;IRO1BTEJ0012;	3100;	2020-08-22
13;IRO1BTEJ0013;	3230;	2020-08-19
14;IRO1BTEJ0014;	3400;	2020-08-18
15;IRO1BTEJ0015;	3290;	2020-08-17
16;IRO1BTEJ0016;	3430;	2020-08-16
17;IRO1BTEJ0017;	3610;	2020-08-15
18;IRO1BTEJ0018;	3790;	2020-08-12
19;IRO1BTEJ0019;	3880;	2020-08-11
20;IRO1BTEJ0020;	4080;	2020-08-10
21;IRO1BTEJ0021;	4250;	2020-08-09
22;IRO1BTEJ0022;	3850;	2020-08-03
23;IRO1BTEJ0023;	3900;	2020-08-02
24;IRO1BTEJ0024;	3780;	2020-08-01
25;IRO1BTEJ0025;	3890;	2020-07-29
26;IRO1BTEJ0026;	4090;	2020-07-28
27;IRO1BTEJ0027;	4180;	2020-07-27
28;IRO1BTEJ0028;	4370;	2020-07-26
29;IRO1BTEJ0029;	4420;	2020-07-25
30;IRO1BTEJ0030;	4220;	2020-07-20
31;IRO1BTEJ0031;	4020;	2020-07-19
32;IRO1BTEJ0032;	3910;	2020-07-18
33;IRO1BTEJ0033;	4110;	2020-07-15
34;IRO1BTEJ0034;	3930;	2020-07-14
35;IRO1BTEJ0035;	3750;	2020-07-13
36;IRO1BTEJ0036;	3630;	2020-07-12
37;IRO1BTEJ0037;	3470;	2020-07-11
38;IRO1BTEJ0038;	3510;	2020-07-08
39;IRO1BTEJ0039;	3430;	2020-07-07
40;IRO1BTEJ0040;	3290;	2020-07-06
41;IRO1BTEJ0041;	3140;	2020-07-05
42;IRO1BTEJ0042;	3050;	2020-07-04
43;IRO1BTEJ0043;	3060;	2020-07-01
44;IRO1BTEJ0044;	2920;	2020-06-30
45;IRO1BTEJ0045;	2790;	2020-06-29
46;IRO1BTEJ0046;	2850;	2020-06-28
47;IRO1BTEJ0047;	2890;	2020-06-27
48;IRO1BTEJ0048;	2760;	2020-06-23
49;IRO1BTEJ0049;	2640;	2020-06-22
50;IRO1BTEJ0050;	2550;	2020-06-21
51;IRO1BTEJ0051;	2470;	2020-06-20
52;IRO1BTEJ0052;	2360;	2020-06-16
53;IRO1BTEJ0053;	2250;	2020-06-15
54;IRO1BTEJ0054;	2160;	2020-06-14
55;IRO1BTEJ0055;	2100;	2020-06-13
56;IRO1BTEJ0056;	2009;	2020-06-10
57;IRO1BTEJ0057;	1937;	2020-06-09
58;IRO1BTEJ0058;	2006;	2020-06-08
59;IRO1BTEJ0059;	2052;	2020-06-07
60;IRO1BTEJ0060;	1956;	2020-06-06
61;IRO1BTEJ0061;	1902;	2020-06-02
62;IRO1BTEJ0062;	1840;	2020-06-01
63;IRO1BTEJ0063;	1815;	2020-05-31
64;IRO1BTEJ0064;	1883;	2020-05-30
65;IRO1BTEJ0065;	1794;	2020-05-27
66;IRO1BTEJ0066;	1738;	2020-05-26
67;IRO1BTEJ0067;	1829;	2020-05-23
68;IRO1BTEJ0068;	1924;	2020-05-20
69;IRO1BTEJ0069;	2023;	2020-05-19
70;IRO1BTEJ0070;	2086;	2020-05-18
71;IRO1BTEJ0071;	2000;	2020-05-17
72;IRO1BTEJ0072;	2103;	2020-05-16
73;IRO1BTEJ0073;	2190;	2020-05-13
74;IRO1BTEJ0074;	2109;	2020-05-12
75;IRO1BTEJ0075;	2065;	2020-05-11
76;IRO1BTEJ0076;	1967;	2020-05-10
77;IRO1BTEJ0077;	1874;	2020-05-09
78;IRO1BTEJ0078;	1785;	2020-05-06
79;IRO1BTEJ0079;	1721;	2020-05-05
80;IRO1BTEJ0080;	1642;	2020-05-04
81;IRO1BTEJ0081;	1564;	2020-05-03
82;IRO1BTEJ0082;	1490;	2020-05-02
83;IRO1BTEJ0083;	1353;	2020-04-27
84;IRO1BTEJ0084;	1318;	2020-04-26
85;IRO1BTEJ0085;	1256;	2020-04-25
86;IRO1BTEJ0086;	1197;	2020-04-22
87;IRO1BTEJ0087;	1140;	2020-04-21
88;IRO1BTEJ0088;	1086;	2020-04-20
89;IRO1BTEJ0089;	1042;	2020-04-19
90;IRO1BTEJ0090;	996;	2020-04-18
