id;type;isin;last;trade_volume;bid_volume;bid_price;ask_price;ask_volume;base_instrument_last;created_at
1;Applications Money Market Account;synthesize;52079;23178;58371;3079;56823;55707;36687;2020-10-11T20:48:11
2;leading-edge Fresh Well;mesh indigo;3468;9977;13166;37369;3193;40855;55861;2020-10-12T11:34:18
3;Tuna Avon deposit;Republic of Korea;78733;44247;42255;75786;15428;8008;10679;2020-10-12T05:40:48
4;Frozen interactive;Soft Consultant;9844;99835;96365;53018;11008;84400;18804;2020-10-12T07:34:07
5;indexing;EXE platforms;22500;958;49901;12707;54871;80191;70934;2020-10-12T00:38:38
6;Plastic;utilisation;32839;78607;48430;94080;44599;35888;66690;2020-10-12T04:22:36
7;invoice Freeway;payment Iraq;21671;27679;82516;43106;81623;86336;7851;2020-10-12T00:43:14
8;Identity out-of-the-box;Incredible implement;41548;29964;53072;80830;88502;1133;43422;2020-10-11T23:07:19
9;Cross-group Representative;indigo;12352;61672;82258;36936;63427;24861;66275;2020-10-12T10:50:20
10;haptic;Spur calculating;1506;31805;82156;58296;51935;16271;56596;2020-10-11T16:00:04
